,SMILES
0,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccccc1C
1,[O-][n+]1nc2c(-c3nc[nH]n3)cnn2c2cc(Cl)ccc21
2,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
3,O=C(NC1CCCCC1)C1Cc2c(sc3ccccc23)CN1
4,CCCCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC
5,Cc1cc2c(C3CCCCC3)[nH]c(=O)nc2c(C#N)c1C
6,CC(=O)C1CCC2C3CCC4CC(O)(C#Cc5ccc(C=O)cc5)CCC4(C)C3CCC12C
7,O=C(NCCc1ccc(Cl)cc1)C(=O)c1c[nH]c2ccccc12
8,COc1ccc(CCNC(=O)C(=O)c2c[nH]c3ccccc23)cc1OC
9,CCCCCn1ncc2c(N)c(C(=O)NCCC)cnc21
10,C#CCCCCn1ncc2c(N)c(C(=O)OCC=C)c(C)nc21
11,O=c1c2cnc3ccccc3c2[nH]n1-c1ccccc1
12,Cc1cc2c(c(C#N)c1C)NC(=O)NC2C
13,CC(C)c1cccc(C(C)C)c1OC(=O)CN1CCCC1
14,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
15,Cc1cc2c(c(C#N)c1C)N=CNC2C1CCCCC1
16,COc1ccc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)c(OC)c1
17,N#Cc1ccc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc1
18,CCCC(=O)c1c(C)nc2c(c1N)c1ccccc1n2C
19,CC(=O)Oc1cccc(C(C)n2cnc3c(=O)[nH]cnc32)c1
20,CN=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1
21,Cc1cc2c(C)ncnc2c(C#N)c1C
22,Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1
23,O=C(NC=NO)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12
24,O=C(NCCc1ccc(O)cc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
25,O=[PH]1(=O)CCC(CO)C1
26,On1cc(C2CCNCC2)c(-c2c[nH]c(-c3ccccc3)n2)n1
27,CCCCn1ncc2c(N)c(C(=O)OCC)c(C)nc21
28,COCCN(CCOC)c1nn2c(-c3ccc(N(C)C)cc3)nnc2c2ccccc12
29,NCC(CC(=O)O)c1ccc(Cl)cc1
30,CCOC(=O)c1cc2c(cn1)[nH]c1ccc(OCc3ccccc3)cc12
31,Cc1nc(-c2cnn3c2n[n+]([O-])c2ccc(Cl)cc23)nn1C
32,CCONC(=O)C1=CCC(N)C1
33,CN(C)N=Nc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2
34,C1=NC(c2ccccc2)c2ccccc2-c2[nH]nnc21
35,O=C(N1CCOCC1)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccc(F)cc21
36,CC(C)(C)OC(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21
37,NNC(=O)c1ccncc1
38,C=CCOC(=O)c1c(C)nc2c(cnn2CCC2CC2)c1N
39,CN(C)C(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21
40,CC(=NC(=O)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12)N(C)C
41,Cc1cccc2c1N(C(=O)N1CCOCC1)Cc1c(-c3noc(C4CC4)n3)ncn1-2
42,Brc1ccccc1-c1nnc2c3ccccc3c(N3CCCC3)nn12
43,O=C(c1ccccc1)c1cn2c(n1)sc1ccccc12
44,CC1CCc2nc3c(c(N)c2C1=O)c1c(n3C)CCCC1
45,CN(C)C(=O)N1c2cc(Cl)ccc2-n2cnc(-c3noc(C4CC4)n3)c2C1(C)C
46,CCCC(=O)c1cn2c(cc(OC)c3cc(CC)ccc32)n1
47,N#[N+]c1ccc(S(=O)(=O)[O-])cc1
48,CCSc1ccc(-c2ccccn2)c2c1C(=O)CC(C)C2
49,COc1nc(CSc2ccc(-c3nccs3)c3c2C(=O)CC(C)C3)ns1
50,O=C(NCc1ccc([N+](=O)[O-])cc1)C(=O)c1c[nH]c2ccccc12
51,COC(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21
52,O=c1c(-c2ccsc2)c[nH]c2c(-c3cccc(F)c3)cnn12
53,COc1ccc(CNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)cc1
54,CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1CC
55,[N-]=[N+]=C1C=CC(=O)C=C1
56,NCc1ccc[n+]([O-])c1
57,CC(N)Cn1ncc2ccc(O)cc21
58,CN1C(=O)C(NC(=O)c2ccc(Br)cc2)N=C(c2ccccc2)c2ccccc21
59,COC(=O)c1c(C)nc2sc3c(c2c1N)CCCC3
60,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc2c(c1)OCO2
61,CN1C(=O)C(N)N=C(c2ccccc2)c2ccccc21
62,O=C(NCCc1c[nH]c2ccccc12)C(=O)c1c[nH]c2ccccc12
63,CN(C)C(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2cccc(Cl)c21
64,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
65,O=C(NCCCc1ccccc1)C(=O)c1c[nH]c2ccccc12
66,O=C(NCc1cccc(O)c1)C(=O)c1c[nH]c2ccccc12
67,O=c1oc2ccccc2c2c1cc(-c1ccccc1)n2-c1ccccc1
68,Cc1cccc(-n2nnc3c(=O)oc4ccccc4c32)c1
69,CC(=O)Nc1cc(F)ccc1Oc1ccccc1
70,O=C(NCCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccc(Br)cc12
71,CCOC(=O)C(Cc1ccc(O)cc1)NC(=O)C(=O)c1c[nH]c2ccc(Cl)cc12
72,CN(C)Cc1ccc2c(c1)NC(=O)N(C)S2(=O)=O
73,CCCCc1ccc(C2=NN(S(=O)(=O)c3ccc(-c4ccc5ccccc5c4)cc3)CCC2)cc1
74,CC(NC(=O)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12)c1ccccc1
75,NCC(CC(=O)O)c1cc(Br)cs1
76,CC1CCc2nc3sc4c(c3c(N)c2C1=O)CCCCC4
77,CCOC(=O)c1c(C)nc2c(cnn2CCC(C)C)c1N
78,On1ncc(C2CCNCC2)c1-c1cn(Cc2ccccc2)c(-c2ccccc2)n1
79,O=c1c2cnc3ccc(OCc4ccccc4)cc3c2[nH]n1-c1ccccc1
80,COc1cc(C)cc(OC)c1OC(=O)C(CCS(C)(=O)=O)N1C=CCCC1
81,CCOc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCCCC2
82,NCCCC(=O)O
83,CCCC(=O)N(C)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12
84,C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OC(C)(C)C)ncn1-2
85,Cc1cccc(C(NC(=O)CNC(=O)c2ccc(F)cc2)c2ccccc2)c1
86,O=C(NCc1ccccc1F)C(=O)c1c[nH]c2ccc(Cl)cc12
87,O=C(NCc1ccccc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
88,CC(C)OC(=O)c1cn2c(n1)sc1ccccc12
89,COc1ccc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)cc1OC
90,CCCc1cc(OC)nc2nc(C(=O)c3ccccc3)cn12
91,CCOC(=O)c1c(C)nc2c(cnn2CC)c1N
92,Cn1cc(C(=O)C(=O)NCc2ccc(Cl)cc2)c2ccccc21
93,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(C)s1
94,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1Br
95,CN1Cc2c(C(=O)OCCC(C)(C)C)ncn2-c2ccc(Cl)cc2C1=O
96,O=C1C=NC(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
97,Cc1c(C2CCNCC2)o[nH]c1=O
98,COCCN(CCOC)c1nn2c(-c3ccc(C)cc3)nnc2c2ccccc12
99,CN(CCc1cccc(F)c1)C1C2C3CC4C5C3CC2C5C41
100,COc1ccc(OCF)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1
101,O=c1c2cnc3c(c2[nH]n1-c1ccc(Cl)cc1)CCCC3
102,O=C(NCc1ccccc1F)C(=O)c1c[nH]c2ccccc12
103,COc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCC2
104,Cc1nnc(CNC(=O)C(N)CC(C)C)n1-c1ccc(Cl)cc1C(=O)c1ccccc1
105,COCC(C(=O)Oc1c(OC)cccc1OC)N1CCCOCC1
106,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
107,COc1ccc(NNC(=O)C(=O)c2c[nH]c3ccccc23)cc1
108,O=c1[nH]oc2c1CCNC2
109,Clc1cccc2[nH]c3c(ncc4[nH]c5ccccc5c43)c12
110,Cc1cc(-c2nnc3c4ccccc4c(OCc4ccccn4)nn23)no1
111,COc1cc(C)n2cc(C(=O)c3ccccc3)nc2n1
112,COc1cccc(-c2ccc3nncn3n2)c1
113,CCCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1C
114,CCc1ccc2c(c1)c(OC)cc1nc(C(C)=O)cn12
115,NC(=S)NCC(=O)O
116,COc1cccc(OC)c1OC(=O)C(CCSC)N1CCCCCC1
117,Clc1ccc2[nH]c3c(ncc4[nH]c5ccccc5c43)c2c1
118,CCOCCC(C(=O)Oc1c(OC)cccc1OC)N1CCCOCC1
119,O=C(NC1CCc2ccccc21)C(=O)c1c[nH]c2ccccc12
120,COc1cc(CNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)ccc1O
121,O=C(Nc1ccc(O)cc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
122,CC1=NN=C(c2cc3c(C(F)(F)F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1
123,CCOC(=O)c1cn2c(n1)sc1cc(CC)ccc12
124,COc1cc2nc(C(=O)c3ccccc3)cn2c2ccccc12
125,CC(=O)C1(C)CCC2C(CCC3CC(O)CCC32C)C1
126,CC(C)c1cccc(C(C)C)c1O
127,CCOC(=O)C(C)NC(=O)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
128,O=c1cc(-c2cccc([N+](=O)[O-])c2)oc2ccc(Br)cc12
129,O=C1C=NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
130,O=C(NNc1ccc(Cl)cc1)C(=O)c1c[nH]c2ccc(Cl)cc12
131,O=C(NCCc1ccccc1)C(=O)c1c[nH]c2ccccc12
132,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(F)cc1
133,CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC
134,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccccc1
135,C#Cc1ccc2c(c1)C(=O)N1CCC1c1c(-c3nc(-c4ccccc4)no3)ncn1-2
136,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
137,COCCNc1nn2c(-c3ccc(OC)cc3)nnc2c2ccccc12
138,O=C(Nc1ccc(O)cc1)C(=O)c1c[nH]c2ccccc12
139,O=C(NCc1ccc(F)cc1)C(=O)c1c[nH]c2ccc(Cl)cc12
140,O=C(NCCc1ccc(O)cc1)C(=O)c1c[nH]c2ccc(Br)cc12
141,CCCCCn1ncc2c(N)c(C(=O)NCCCC)cnc21
142,Cn1cc(C(=O)C(=O)NCCc2ccc(Cl)cc2)c2ccccc21
143,Nc1nc(CCC(=O)O)cs1
144,CCCCCNC(=O)C1=CCC(N)C1
145,CCCC[PH](=O)(=O)C1=CCC(N)C1
146,ClCc1nnc2ccc(-c3ccccc3)nn12
147,CC(C)(C)OC(=O)c1ncn2c1CN(C(=O)N1CCOCC1)c1ccccc1-2
148,CC(C)n1c(=O)c2c(-c3noc(C4CC4)n3)ncn2c2ccccc21
149,COc1ccc(-c2cc(C#N)c(=O)[nH]c2-c2ccc(N(C)C)cc2)cc1
150,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(Br)cc1
151,CC12NC(Cc3ccc(N=C=S)cc31)c1ccccc12
152,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(F)c(Cl)c1
153,OCc1cc2c(cn1)[nH]c1ccccc12
154,Cc1ccc(C(CN)CC(=O)O)s1
155,COc1ccccc1-c1c(SC)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N
156,N=c1ccc(-c2cccc(OCc3ccccc3)c2)nn1CCCC(=O)O
157,N=c1ccc(-c2cccc(N)c2)nn1CCCC(=O)O
158,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(C(F)(F)F)cc1
159,N#[N+]c1ccc2cccc(S(=O)(=O)[O-])c2c1
160,Cn1c2ccccc2c2cc3c(nc21)CCCC3=O
161,Cn1c2ccccc2n2c(=O)c(-c3ccccc3)nnc12
162,CN(Cc1cccnc1)C1C2C3CC4C5C3CC2C5C41
163,O=C(CNC(=O)c1ccc(F)cc1)NC(c1ccccc1)c1cccc(Cl)c1
164,Cc1cccc(NNC(=O)C(=O)c2c[nH]c3ccccc23)c1
165,COC(=O)Nc1cc2c(cn1)[nH]c1ccccc12
166,O=C(NCCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccc(Cl)cc12
167,COc1nc2nc(C(=O)c3ccccc3)cn2c2c1CSCC2
168,COc1ccc(-c2c(SC)nn(-c3c(Cl)cc(C(F)(F)F)cc3Cl)c2N)cc1
169,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
170,CC1CCc2nc3sc4ccccc4c3c(N)c2C1=O
171,O=c1[nH]oc(C2CCNCC2)c1Cc1ccccc1
172,COc1cc2nc(C(=O)c3ccccc3)cn2c2cc(C)c(C)cc12
173,COc1cc(CNC(=O)C(=O)c2c[nH]c3ccccc23)ccc1O
174,O=C(NCCc1ccccc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
175,CCCNC(=O)C1=CCC(N)C1
176,CC12CCC3CC(CCO)CCC3C1CCC2C#N
177,O=c1c(-c2ccsc2)c[nH]c2c(-c3cccc(Br)c3)cnn12
178,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc(C#N)cc1
179,O=C(CNC(=O)c1ccc(F)cc1)NC(c1cccc(F)c1)c1cccc(F)c1
180,CN(Cc1ccccc1)C1C2C3CC4C5C3CC2C5C41
181,CONC(=O)C1=CCC(N)C1
182,O=C(OCc1ccccc1)c1cn2c(n1)sc1ccccc12
183,CN1CCN(c2nn3c(-c4ccccc4)nnc3c3ccccc23)CC1
184,O=c1c(-c2ccsc2)c[nH]c2c(-c3cccc4ccccc34)cnn12
185,O=C(O)c1cc(=O)c2ccccc2[nH]1
186,CSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CSCC2
187,CC(C)[PH](=O)(=O)C1=CCC(N)C1
188,COc1cc(CNC2C3C4CC5C6C4CC3C6C52)cc(OC)c1OC
189,NC1CC=C([PH](=O)(=O)Cc2ccccc2)C1
190,CCSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCC2
191,Cc1ccc(C(CN)CC(=O)O)o1
192,CC(C)c1cc(NS(C)(=O)=O)cc(C(C)C)c1O
193,CCOC(=O)c1ncc2c(c1CC)c1cc(OCc3ccccc3)ccc1n2C
194,O=c1c(-c2ccsc2)c[nH]c2c(-c3ccccn3)cnn12
195,O=C(Nc1ccc(O)cc1)C(=O)c1c[nH]c2ccc(Cl)cc12
196,Cc1ccc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc1C
197,CCOC(=O)c1c(C)nc2c(cnn2CCCC(C)(C)C)c1N
198,COc1cccc(CNC(=O)C(=O)c2c[nH]c3ccccc23)c1
199,COc1nc2nc(C(=O)c3ccccc3)cn2c(C)c1CC1CC1
200,CCOC(=O)Nc1cc2c(cn1)[nH]c1ccccc12
201,COc1cc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc(Br)c1OC
202,CC(C)c1cc(NC(=O)C(F)(F)F)cc(C(C)C)c1O
203,O=c1cc(C2CCNCC2)o[nH]1
204,NCC(CC(=O)O)c1ccc(Cl)s1
205,CCCOC(=O)c1cc2c(cn1)sc1ccccc12
206,O=C(NCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccc(Cl)cc12
207,CCOC(=O)C1CCN(Cc2cc(C(C)C)c(N)c(C(C)C)c2)CC1
208,O=c1c2cnc3ccccc3c2[nH]n1-c1ccc(Cl)cc1
209,COC(=O)c1c(C)nc2c(c(C)c(C)n2C)c1N
210,CCCCc1cc(OC)nc2nc(C(=O)c3ccccc3)cn12
211,C=CCOC(=O)c1c(C)nc2c(cnn2CCC#CC)c1N
212,Oc1ccc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc1
213,CCc1cn2cc(C(=O)c3ccccc3)nc2nc1OC
214,CCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1C
215,OC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1
216,C=CCOC(=O)c1c(C)nc2c(cnn2CCC(C)C)c1N
217,Cc1cc2c(c(C#N)c1C)N=CNC2C
218,CSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCCC2
219,CCCc1c(SC)nc2nc(C(=O)c3ccccc3)cn2c1CC
220,CCc1ccc2c(c1)c(OC)cc1nc(C(=O)c3ccccc3)cn12
221,COc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCCC2
222,O=C(NCc1ccc(O)cc1)C(=O)c1c[nH]c2ccccc12
223,Nc1nccn1CC(=O)O
224,COc1ccc(-c2cc(-c3nc(C)no3)c(=O)n(C)c2-c2ccncc2)cc1
225,CCCc1cc(SC)nc2nc(C(=O)c3ccccc3)cn12
226,COc1cccc(-c2c[nH]n3c(=O)c(-c4ccsc4)cnc23)c1
227,C#Cc1ccc2c(c1)C(=O)N1CCCC1c1c(-c3nc(-c4ccccc4)no3)ncn1-2
228,CC(=O)Nc1cc(C(C)C)c(O)c(C(C)C)c1
229,O=C(NNc1ccc([N+](=O)[O-])cc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12
230,N#[N+]c1cccc(C(=O)[O-])c1
231,C=CCCCn1ncc2c(N)c(C(=O)OCC=C)c(C)nc21
232,CCCCCCn1ncc2c(N)c(C(=O)OCC)c(C)nc21
233,O=C(NC1CCCCCC=CC2CC2(C(=O)O)NC(=O)C2CC(Oc3ccncc3)CN2C1=O)OC1CCCC1
234,Cc1c(C(=O)O)cc(-c2ccc(C3CCNCC3)cc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc12
235,COCCN(CCOC)c1nn2c(-c3ccc(OC)c(C)c3)nnc2c2ccccc12
236,Cc1cc2c(c(C#N)c1C)NC(=O)C=NC2C1CC1
237,O=C(c1ccccn1)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2ccccc21
238,O=C(c1ccc(OCCC2CCOCC2)cc1)C1CCC(Cn2nnc3ccccc3c2=O)C1C(=O)O
239,CC(C)(C)C(=O)Oc1ccc2c(c1)[nH]c1c2ncc2[nH]c3ccccc3c21
240,COc1ccc(C(=O)c2cn3c(cc(OC)c4ccccc43)n2)cc1
241,CC(=O)CC1(C)CCC2C(CCC3CC(O)CCC32C)C1
242,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(Br)cc(Br)cn12
243,C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCCCOC(=O)c3ncn4c3CN(C)C(=O)c3cc(C#C)ccc3-4)ncn1-2
244,O=C(NCc1ccc(Cl)cc1)C(=O)c1c[nH]c2ccc(Cl)cc12
245,O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1ccc2c(c1)C1(CCS(=O)(=O)CC1)C(C1CC1)N2S(=O)(=O)c1ccc(F)cc1
246,Clc1ccc2nnc3c(-c4cccs4)cnn3c2c1
247,[O-][n+]1nc2c(-c3cnoc3)cnn2c2cc(Cl)ccc21
248,Cc1cc(NC(=O)c2cccc(S(F)(F)(F)(F)F)c2)cc(-n2ccn3nc(-c4cccnc4)cc23)c1
249,CC(C)(O)c1cncc(-c2nc3ccc(F)cc3n2C2CC2)c1
250,CC(c1ccc(F)cc1)N(Cc1ccc(Cl)c(C(=O)O)c1)C(=O)c1cnc2ccccc2c1
251,CC12CCC3CC(CCO)CCC3C1CCC2=O
252,CCOC(=O)c1ncc2[nH]c3ccc(OC)cc3c2c1COC
253,CNCc1ccccc1-c1csc(C(C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1
254,CC1=NC(C)=C(C#N)C(c2ccc3[nH]nc(C)c3c2)C1C#N
255,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(Cl)cc(C(F)(F)F)cn12
